Titel;Visualisierungstitel (falls nicht identisch);Quelle - Tags;Datum;Beschreibung;Art der Visualisierung - Tags;Visualisierung der Unsicherheit;Link;Bild;Cluster;coincident / adjacent;implicit / explicit;intrinsic / extrinsic;static / dynamic;type of uncertainty
Das wären seine Koalitionen;Wer schafft es in den Bundestag?;Zeit;19.02.2025;Wahrscheinlichkeit des Einzugs der Parteien in den Bundestag;Bar Chart, Magnitude;Wahrscheinlichkeit mit der ein Einzug in den Simulationen gelingt im Vergleich;https://www.zeit.de/politik/deutschland/2025-02/bundestagswahl-prognose-fuenf-prozent-huerde-fdp-bsw-linke;ZEIT12.png;1: Forecast;coincident;explicit;extrinsic, unclear;static;attribute / thematic
Israel-Gaza-Krieg: Der Konflikt mit der Hamas in Grafiken und Karten - DER SPIEGEL;Israels Vormarsch in Nord-Gaza;SPIEGEL;08.03.2024;israelische Bodenoperationen und unbestätigte weitere Vorstöße;Contour Map, Spatial;unbestätigte Vorstöße durch dunklere Farbe markiert;https://www.spiegel.de/ausland/israel-gaza-krieg-der-konflikt-mit-der-hamas-in-grafiken-und-karten-a-3967f2d7-9923-47e1-9eed-a09c543d24bd?sara_ref=re-so-app-sh;SPIEGEL13.jpeg;3: Spatial;coincident;explicit;intrinsic;static;positional / geometric
Wie sinkende Geburtenraten die Welt verändern;;FAZ;21.07.2024;Verschiedene Modelle der Bevölkerungsentwicklung;Change over Time, Line Chart;verschieden farbige Linien je nach Modell;https://www.faz.net/aktuell/wissen/die-geburtenraten-sinken-weltweit-droht-ein-bevoelkerungskollaps-19867241.html;FAZ2.png;1: Forecast;coincident;explicit;intrinsic;static;temporal
Israel-Gaza-Krieg: Der Konflikt mit der Hamas in Grafiken und Karten - DER SPIEGEL;Zerstörungen im Gazastreifen;SPIEGEL;08.03.2024;Gebiete mit wahrscheinlich erheblicher Beschädigung durch israelische Angriffe;Contour Map, Spatial;unsicherer Anteil der zerstörten Gebäude durch Textfeld als Spanne dargestellt;https://www.spiegel.de/ausland/israel-gaza-krieg-der-konflikt-mit-der-hamas-in-grafiken-und-karten-a-3967f2d7-9923-47e1-9eed-a09c543d24bd?sara_ref=re-so-app-sh;SPIEGEL12.jpeg;2: Definite Ranges, 3: Spatial;coincident;explicit;extrinsic;static;attribute / thematic
Israel-Iran-Konflikt: Wer sind die Freunde Israels in der Region - und wer die Feinde? - DER SPIEGEL;Proiranische Milizen im Nahen Osten, nach Anzahl der Kämpfer;SPIEGEL;19.04.2024;Anzahl der Kämpfer je nach Schätzung;Proportional Symbol, Spatial;niedrige und hohe Schätzungen der Kämpferanzahl werden durch Farbintensität in einem Kreis gekennzeichnet;https://www.spiegel.de/ausland/israel-iran-konflikt-wer-sind-die-freunde-israels-in-der-region-und-wer-die-feinde-a-cb99d49d-ef9d-484b-9e8c-eaf031574ccb;SPIEGEL11.png;2: Definite Ranges, 3: Spatial;coincident;explicit;intrinsic;static;attribute / thematic
"Wer liegt in meinem Wahlkreis vorn?
Schwarzer Westen, blauer Osten – die Prognose für alle 299 Direktmandate";"z.B. Die Grünen im Rennen ums Direktmandat vorn
Prognose für Hamburg-Altona";Bild;24.01.2025;Wahrscheinlichkeit, dass ein*e Kandidat*in diesen Wahlkreis gewinnt;Arc, Part-to-whole;Auf einer Tacho-Visualisierung wird die Wahrscheinlichkeit angegeben;https://www.bild.de/politik/inland/bild-wahlkreis-karte-dieser-kandidat-liegt-in-ihrem-wahlkreis-vorne-679252a9ae99b66fb45c0d8d;BILD2.png;1: Forecast;adjacent;explicit;extrinsic;dynamic;attribute / thematic
"Wer liegt in meinem Wahlkreis vorn?
Schwarzer Westen, blauer Osten – die Prognose für alle 299 Direktmandate";"Union bei den Erststimmen vorn
Welche Partei auf wie viele Direktmandate hoffen kann";Bild;24.01.2025;Anzahl der Direktmandate pro Partei je nach Wahrscheinlichkeit;Basic Choropleth, Spatial, Table, unclear;Wahrscheinlichkeit durch Farbintensität in drei Kategorien abgestuft;https://www.bild.de/politik/inland/bild-wahlkreis-karte-dieser-kandidat-liegt-in-ihrem-wahlkreis-vorne-679252a9ae99b66fb45c0d8d;BILD1.png;1: Forecast, 3: Spatial;coincident;explicit;intrinsic;dynamic;attribute / thematic
How to Fix America’s Immigration Crisis;Immigration court backlog;New York Times;09.01.2025;Immigrationsfälle pro Richter*in;Distribution, Histogramm;Prognose für Dezember 2024 ist kein sicherer Wert und deshalb gestreift angezeigt;https://www.nytimes.com/interactive/2024/01/09/opinion/immigration-in-one-chart.html?unlocked_article_code=1.ik4.kyXu.Qv-4hsX02wwl;NYT8.png;1: Forecast;coincident;explicit;intrinsic;static;attribute / thematic
Bundestagswahl 2025: Aktuelle Umfragen im SPIEGEL-Umfrage-Tracker - DER SPIEGEL;Gewichteter Durchschnitt aktueller Umfragen;SPIEGEL;22.02.2025;Umfragewerte mit wahrscheinlichem Bereich pro Partei;Bar Chart, Magnitude;transparente Überlappung für Bar Chart ;https://www.spiegel.de/politik/deutschland/sonntagsfrage-umfragen-zu-bundestagswahl-landtagswahl-europawahl-a-944816.html;SPIEGEL4.png;4: Sampling;coincident;explicit;extrinsic;static;attribute / thematic
What to Know About the Axis of Resistance, the Iran-backed Militia Network;Syria: The government and Iran-backed militias;New York Times;01.10.2024;Darstellung der Aktivitäten syrischer bewaffneter Gruppen;Heatmap, Spatial;Geschätzter Wirkungsbereich und sicherer Bereich mit hoher Aktivität farblich gekennzeichnet;https://www.nytimes.com/article/axis-resistance-iran-militia.html;NYT7.png;3: Spatial;coincident;explicit;intrinsic;static;positional / geometric
Climate change: UN warning over nations' climate plans;Human Influence has warmed the climate;BBC;17.12.2021;Change in average global temperature relative to 1850 - 1900, showing observed temperatures and computer simulations;Change over Time, Line Chart;Range der Simulationen als Fläche dargestellt ;https://www.bbc.com/news/science-environment-58600723;BBC1.png;1: Forecast, 2: Definite Ranges;coincident;explicit;extrinsic;static;attribute / thematic
COP29: CO2-Emissionen und Klimawandel in 10 Grafiken - DW - 13.11.2024;Mit der Erderwärmung steigt auch der Meeresspiegel;DW;13.11.2024;Jährliche Abweichung des Meeresspiegels vom durchschnittlichen Pegelstand in 1880;Change over Time, Line Chart;Unsicherheit gekennzeichnet durch graue Fläche ;https://www.dw.com/de/weltklimakonferenz-cop29-klimawandel-klimakrise-co2-emissionen-erderw%C3%A4rmung-fakten/a-59662624;dw1.png;1: Forecast, 2: Definite Ranges;coincident;explicit;extrinsic;static;attribute / thematic, temporal
26 charts that helped explain 2024 in politics - ABC News;Who's favored to win each House district?;ABC News - 538;26.12.2024;Wahrscheinlichkeit, welcher District an republikanische oder demokratische Kandidaten geht ;Basic Choropleth, Equalized Cartogram, Spatial;Heatmap zeigt Grad der Wahrscheinlichkeit durch farbige Sechsecke;https://i.abcnewsfe.com/a/3713e48d-933c-49e5-b02c-1d55599f10af/Housemap-538-ak-241219_1734649926909_hpEmbed_11x13.jpg?w=1500;ABC2.png;1: Forecast, 3: Spatial;coincident;explicit;intrinsic;static;attribute / thematic
This Is Where the Palisades Fire Started;The Area Where the Fire Began;New York Times;16.01.2025;Karte des Ausbruchsgebiet des Feuers;Locator Map, Spatial;Geschätzte Position mit unscharfer Fläche dargestellt und mit Text hervorgehoben;https://www.nytimes.com/2025/01/13/us/palisades-fire-cause-ignition-point-site.html;NYT2.png;3: Spatial;coincident;explicit;intrinsic;static;positional / geometric
WDR-Umfrage: So viel kostet illegaler Müll die Gemeinden in NRW;Auch kleinere Gemeinden mit hohen Kosten pro Kopf;WDR;13.11.2024;Ausgaben der Gemeinden für die Entsorgung von illegalem Müll pro Einwohner nach Größe der Gemeinde.;Correlation, Scatter Plot;Farbliche Kennzeichung konkreter und geschätzter Werte;https://www1.wdr.de/nachrichten/illegaler-muell-kosten-100.html;WDR1.png;5: Missing Data;coincident;explicit;intrinsic;static;attribute / thematic
Wie stehen die Umfragen vor der Bundestagswahl?;Die Stärke der Parteien;FAZ;28.02.2025;Gewichteter Mittelwert aus „Sonntagsfrage“-Umfragen ausgewählter Umfrageinstitute;Change over Time, Correlation, Line Chart, Scatter Plot;Punkte für einzelne Umfragen ergeben Schwankungsbereich;https://www.faz.net/aktuell/politik/bundestagswahl/sonntagsfrage-zur-bundestagswahl-2025-wo-die-parteien-laut-neuester-wahlumfragen-stehen-19459939.html;FAZ4.png;4: Sampling;coincident;explicit;extrinsic;dynamic;attribute / thematic
Die Stahlkrise in Zahlen;Grüner Stahl spart CO2, aber macht Produkte teurer;FAZ;03.02.2025;CO2-Emission und Preissteigerung durch Stahl verschiedener Produktklassen;Bar Chart, Magnitude;Stacked Bar  Chart für Minimum und Maximum;https://www.faz.net/aktuell/wirtschaft/unternehmen/thyssenkrupp-will-11-000-stellen-abbauen-die-stahlkrise-in-zahlen-110267455.html;FAZ1.jpeg;2: Definite Ranges;coincident;explicit;intrinsic;static;attribute / thematic
Wie stimmen EU-Abgeordnete am rechten Rand? DW 03.06.2024;Europawahl 2024: Sitzverteilung vs Prognosen;DW;03.06.2024;Sitzverteilung im aktuellen Europaparlament (Balken) versus Hochrechnungen (Linien);Bullet, Magnitude;verschiedene Prognosen durch Linien auf den aktuellen Werten gekennzeichnet;https://www.dw.com/de/wie-stimmen-eu-abgeordnete-am-rechten-rand/a-69197969;DW2.jpeg;4: Sampling;coincident;explicit;extrinsic;static;attribute / thematic
How the U.S. Humanitarian Pier in Gaza Will Work;Humanitarian road access in Gaza;New York Times;27.04.2024;Karte mit eingezeichneten Routen für Hilfslieferungen ;Locator Map, Spatial;großes, gestricheltes Quadrat mit Anmerkung;https://www.nytimes.com/interactive/2024/04/27/world/middleeast/gaza-pier-israel-hamas-war.html?unlocked_article_code=1.ik4.2ykT.hF6skJc8uSlA;NYT9.png;3: Spatial;coincident;explicit;extrinsic;static;positional / geometric
Joe Biden : Approval Polls | FiveThirtyEight;;ABC News - 538;14.01.2025;Visualisierung der Zustimmungswerte zu Joe Biden im Zeitverlauf;Change over Time, Correlation, Line Chart, Scatter Plot;Konfidenzintervall durch Scatterplot dargestellt;https://projects.fivethirtyeight.com/polls/approval/joe-biden/?ex_cid=abcpromo;ABC1.png;4: Sampling;coincident;explicit;extrinsic;static;attribute / thematic
Die neuesten Sonntagsfragen zur Bundestagswahl 2025 im Trend;;Tagesspiegel;22.02.2025;Darstellung aller Umfragen und des Mittelwerts der letzten 12 Monate;Change over Time, Correlation, Line Chart, Scatter Plot;alle Umfragen als Punkte dargestellt, einzelne Umfragen im Detail aufrufen;https://interaktiv.tagesspiegel.de/lab/bundestagswahl-2025-sonntagsfrage-wahlumfragen/;Tagesspiegel1.png;4: Sampling;coincident;explicit;extrinsic;dynamic;attribute / thematic
Bundestagswahl 2025: Aktuelle Umfragen im SPIEGEL-Umfrage-Tracker - DER SPIEGEL;Entwicklung der Umfragen;SPIEGEL;22.02.2025;Umfragewerte der Parteien im Zeitverlauf;Change over Time, Correlation, Line Chart, Scatter Plot;Scatterplot für verschiedene Umfragen und Mittel der Ergebnisse;https://www.spiegel.de/politik/deutschland/sonntagsfrage-umfragen-zu-bundestagswahl-landtagswahl-europawahl-a-944816.html;SPIEGEL5.png;4: Sampling;coincident;explicit;extrinsic;dynamic;attribute / thematic
Aktuelle Hochwasserlage in Deutschland: Der Überblick in Grafiken - DER SPIEGEL;Im Alarmzustand;SPIEGEL;03.01.2024;Aktuelle Hochwasserwarngebiete am 03. Januar 2024;Heatmap, Spatial;für Flächen ohne Daten ist die Fläche grau schraffiert und gekennzeichnet im Gegensatz zu Flächen, wo keine Gefahr vorliegt;https://www.spiegel.de/panorama/gesellschaft/aktuelle-hochwasserlage-in-deutschland-der-ueberblick-in-grafiken-a-38f38baf-f9e4-4d80-9ee2-0575683a66e3?sara_ref=re-so-app-sh;SPIEGEL14.png;3: Spatial, 5: Missing Data;coincident;explicit;intrinsic;static;positional / geometric
How the Jeju Air Plane Crashed: Timeline, Maps and Photos;;New York Times;31.12.2024;Weg des Flugzeuges bis zum Unfall;Locator Map, Spatial;Turn des Flugzeuges unsicher, durch ausfadenden Pfeil und Anmerkung dargestellt;https://www.nytimes.com/interactive/2024/12/31/world/asia/jeju-plane-crash-maps-photos.html;NYT1.png;3: Spatial, 5: Missing Data;coincident;explicit;intrinsic;static;positional / geometric
World breaches 1.5C global warming target for first time in 2024;2024 was the hottest year and the closest to breach 1.5C;FT;10.01.2025;Veränderung der globalen Oberflächentemeraptur im Vergleich zum vorindustriellen Zeitalter;Box Plot, Distribution;Boxplot der Temperaturen, die in diesem Jahr als Ausreißer gemessen wurden;https://cdn.bsky.app/img/feed_fullsize/plain/did:plc:twf4uvj4z2ppmhisy7mi5qkk/bafkreiadukzkfbkxtodhx2q3mntzrh3wafylczhzxzsf22rjnekupsin2i@jpeg https://www.ft.com/content/fd914266-71bf-4317-9fdc-44b55acb52f6;FT1.png;2: Definite Ranges;coincident;explicit;extrinsic;static;attribute / thematic
Bundestagswahl 2025: Aktuelle Umfragen im SPIEGEL-Umfrage-Tracker - DER SPIEGEL;Ausgehend von 1000 simulierten Wahlausgängen haben wir die Zahl der Sitze für die Koalitionen berechnet;SPIEGEL;22.02.2025;Simulation von 1000 möglichen Wahlausgängen je nach Koalition;Bar Chart, Distribution, Histogramm;Simulationen für Wahlausgang mit Wahrscheinlichkeit;https://www.spiegel.de/politik/deutschland/sonntagsfrage-umfragen-zu-bundestagswahl-landtagswahl-europawahl-a-944816.html;SPIEGEL7.png;1: Forecast;coincident, unclear;explicit;intrinsic;static;temporal
Klimaschutz: So teuer könnte das Nein zum Tempolimit für Deutschland werden - DER SPIEGEL;Wie teuer die Rechnung werden könnte;SPIEGEL;15.08.2024;Potentielle Kosten des  Überwerbrauchs je nach Bepreisung;Distribution, Dot Plot;Spanne verschiedener CO2-Bepreisungen und deren Kosten;https://www.spiegel.de/wissenschaft/klimaschutz-so-teuer-koennte-das-nein-zum-tempolimit-fuer-deutschland-werden-a-7a5247a5-9c6c-4436-9d2e-73c0310ce313;SPIEGEL8.png;1: Forecast;coincident;explicit, unclear;intrinsic;static;temporal
Election 2024 Polls: Harris vs. Trump;How wrong might the polls be?;New York Times;05.11.2024;The ranges in this chart represent the magnitude of each state’s biggest polling miss in recent elections, shown in relation to the current polling averages;Deviation, Spine;Vergleich der bisherigen Prognosefehler;https://www.nytimes.com/interactive/2024/us/elections/polls-president.html?unlocked_article_code=1.ik4.R_D7.T6mXmThQZiMK;NYT10.png;2: Definite Ranges, 4: Sampling;coincident;explicit;extrinsic;static;attribute / thematic
What are the odds of witnessing the presence of a deceased spouse? – datablog;Probability of seeing a dead spouse;Guardian;21.10.2024;Wahrscheinlichkeit je nach Länge der Ehe;Correlation, Scatter Plot;Kein klarer Punkt ausmachbar, nur grobe Tendenz durch Visualisierung ;https://www.theguardian.com/news/datablog/2024/oct/21/witnessing-dead-spouse-study;GUARDIAN1.jpeg;2: Definite Ranges, unclear;coincident;implicit, unclear;intrinsic;static;attribute / thematic
Harris oder Trump – wer führt in den Umfragen?;Wer führt in den Umfragen?;FAZ;05.11.2024;Darstellung der Umfragewerte von Harris, Trump und Kennedy;Change over Time, Line Chart;Schwankungsbreite als farbige Fläche angegeben;https://www.faz.net/aktuell/politik/usa-unter-trump/donald-trump-oder-kamala-harris-aktuelle-umfragen-vor-der-us-wahl-2024-19922204.html;FAZ3.png;4: Sampling;coincident;explicit;extrinsic;static;attribute / thematic
How the Plane and Helicopter Collided in Washington: Maps and Graphics;;New York Times;01.02.2025;Karte mit Flugrouten der beteiligten Flugzeuge ;Locator Map, Spatial;Anmerkung der unsicheren Flughöhe in der Grafik ;https://www.nytimes.com/interactive/2025/01/30/us/washington-dc-plane-crash-helicopter-maps-photos.html?smid=nytcore-android-share;NYT15.jpeg;3: Spatial;coincident;implicit;extrinsic;static;positional / geometric
Drogenrückstände im Abwasser: Konsum in MV weiter gestiegen;Speed in MV: Hoher Konsum im deutschen und europäischen Vergleich;NDR;14.11.2024;Mittlere Menge an Speed-Rückständen pro Einwohner und Tag;Distribution, Dot Plot;Darstellung von Median und Extrempunkten, um Schwankung der Werte zu verdeutlichen;https://www.ndr.de/nachrichten/mecklenburg-vorpommern/Drogenrueckstaende-im-Abwasser-Konsum-in-MV-weiter-gestiegen,abwasser322.html;NDR2.png;2: Definite Ranges;coincident;explicit;intrinsic;static;attribute / thematic
Klimawandel im Norden: So steigen die Temperaturen in Ihrer Region;Am 20.01.2025 war es in Hamburg-Fuhlsbüttel kühler als üblich;NDR;22.01.2025;Durchschnittstemperatur einer Wetterstation im Vergleich zum Zeitraum 1961-1990;Change over Time, Line Chart;Schwankungsbereich der Temperaturen 1961-1990 zur Ergänzung des Mittelwerts;https://www.ndr.de/nachrichten/info/Klimawandel-im-Norden-So-steigen-die-Temperaturen-in-Ihrer-Region,temperatur304.html;NDR1.png;2: Definite Ranges;coincident;explicit;extrinsic;dynamic;attribute / thematic
Live Presidential Forecast;Live forecast by state;New York Times;06.11.2024;Wahrscheinlichkeit des Abstands zwischen den Kandidt*innen;Box Plot, Distribution;Kennzeichnung der Wahrscheinlichkeitsbereiche mit Legende;https://www.nytimes.com/interactive/2024/11/05/us/elections/results-president-forecast-needle.html;NYT4.png;1: Forecast;coincident;explicit;extrinsic;static;attribute / thematic
Syrien: Karten zeigen, wie der Umsturz des Assad-Regimes ablief - DER SPIEGEL;;SPIEGEL;10.12.2024;Darstellung der Machtverhältnisse in Syrien;Locator Map, Spatial;Fläche des IS durch transparente Fläche mit durchlässiger Linie eingezeichnet;https://www.spiegel.de/ausland/syrien-karten-zeigen-wie-der-umsturz-des-assad-regimes-ablief-a-76ecc029-2396-4e83-87fe-ec38708d90bd?sara_ref=re-so-app-sh;SPIEGEL3.png;3: Spatial;coincident;explicit;intrinsic;static;positional / geometric
Live Presidential Forecast;Chance of winning;New York Times;06.11.2024;Tacho-Visualisierung mit Wahrscheinlichkeiten und Schwankungsbereichen;Arc, Part-to-whole;farblich abgehobene Wahrscheinlichkeitsbereiche / Schwankungen;https://www.nytimes.com/interactive/2024/11/05/us/elections/results-president-forecast-needle.html;NYT3.png;1: Forecast;adjacent, unclear;explicit;extrinsic;static;temporal
Election 2024 Polls: Harris vs. Trump;Who’s leading the polls? ;New York Times;05.11.2024;Umfrageergebnisse von Harris und Trump mit gewichtetem Durchschnitt;Change over Time, Correlation, Line Chart, Scatter Plot;Einzelne Umfragen zeigen Spannbreite der Ergebnisse;https://www.nytimes.com/interactive/2024/us/elections/polls-president.html?unlocked_article_code=1.ik4.R_D7.T6mXmThQZiMK;NYT11.png;4: Sampling;coincident;explicit;extrinsic;static;attribute / thematic
Bundestagswahl 2025: Aktuelle Umfragen im SPIEGEL-Umfrage-Tracker - DER SPIEGEL;Welche Koalitionen können auf eine Mehrheit hoffen?;SPIEGEL;22.02.2025;Chance auf Mehrheiten der einzelnen Koalitionsmöglichkeiten;Table, unclear;Wahrscheinlichkeit dargestellt durch Anzahl von 4 grauen Elementen und Beschreibung;https://www.spiegel.de/politik/deutschland/sonntagsfrage-umfragen-zu-bundestagswahl-landtagswahl-europawahl-a-944816.html;SPIEGEL6.png;1: Forecast;coincident;explicit;extrinsic;static;temporal
Milton in Florida: Fünf Fakten, weshalb der Hurrikan im Gedächtnis bleiben wird - DER SPIEGEL;Vorhersage vom 5. Oktober: Geschätzter Weg von Milton;SPIEGEL;12.10.2024;Prognose für den Verlauf von Hurricane Milton;Locator Map, Spatial;Textfeld, welches darauf hinweist, wie die Prognose zu verstehen ist;https://cdn.prod.www.spiegel.de/images/f6de1470-9d54-4b55-a5eb-47a1f8d65d6d_w720_r1.557588805166846_fpx58.4_fpy54.9.webp;SPIEGEL2.png;1: Forecast, 3: Spatial;coincident;explicit;extrinsic;static;positional / geometric
Zensus 2022: So leben Einwanderer in Deutschland - DER SPIEGEL;Fort- und Zuzüge aus Deutschland, nach Jahren;SPIEGEL;09.07.2024;Visualisierung der Ein- und Auswanderung nach Deutschland;Change over Time, Line Chart;Ausgegraute Fläche, da in dieser Zeit nur Daten aus Westdeutschland vorliegen;https://www.spiegel.de/panorama/gesellschaft/zensus-2022-so-leben-einwanderer-in-deutschland-a-ade79d35-22ec-46a2-aaea-740cc0a57ad8;SPIEGEL9.png;5: Missing Data;coincident;explicit;extrinsic;static;attribute / thematic
How Close Are the Planet’s Climate Tipping Points?;Mass Death of Coral Reefs;New York Times;11.08.2024;Visualisierung der Orte und Zeitpunkte von Kipppunkten;Change over Time, Seismogram;Möglicher Zeitpunkt des Kipppunkts als stilisierte Range angegeben;https://www.nytimes.com/interactive/2024/08/11/climate/earth-warming-climate-tipping-points.html?unlocked_article_code=1.ik4.zqED.-v3bdfCgY2wX;NYT14.png;1: Forecast;coincident;explicit;intrinsic, unclear;static;temporal
We Mapped Heat in 3 U.S. Cities. Some Sidewalks Were Over 130 Degrees.;Sacramento July 11, 2024;New York Times;17.07.2024;Oberflächentemperatur amerikanischer Großstädte;Heatmap, Spatial;Flächen mit hoher Unsicherheit entfernt (weiß);https://www.nytimes.com/interactive/2024/07/17/climate/heat-map-phoenix-sacramento-portland.html?unlocked_article_code=1.ik4.xnqZ.f_G2_R1dM-3e;NYT13.png;3: Spatial;coincident;explicit;intrinsic;static;positional / geometric
Warum Baden-Württemberg beim E-Auto-Anteil hinterherfährt;Prognose: Baden-Württemberg verfehlt eigene Klimaziele;SWR;30.12.2024;Vergleich der aktuellen Entwicklung mit der benötigten Entwicklung zur Erreichung der Ziele;Area Chart, Change over Time, Line Chart;Unsichere Prognose durch gestrichelte Linie dargestellt;https://www.swr.de/swraktuell/baden-wuerttemberg/verpasste-ziele-warum-bw-beim-e-auto-anteil-hinterherfaehrt-100.html;SWR1.png;1: Forecast;coincident;explicit;intrinsic;static;temporal
Live Presidential Forecast;Estimate of final electoral vote count;New York Times;06.11.2024;Unsicherheitsdarstellung der Ergebnisse;Change over Time, Line Chart;Farbige Range zeigt Unsicherheit des  prognostizierten Wahlausgangs;https://www.nytimes.com/interactive/2024/11/05/us/elections/results-president-forecast-needle.html;NYT5.png;1: Forecast;coincident;explicit;extrinsic;static;attribute / thematic
26 charts that helped explain 2024 in politics - ABC News;Who is favored to win the 2024 presidential election?;ABC News - 538;26.12.2024;Simulation möglicher Wahlausgänge;Distribution, Histogramm;1000 Simulationen auf einer Skala verteilt durch farbige Punkte dargestellt;https://i.abcnewsfe.com/a/cadff192-0f72-457f-890a-e1b817d7017c/Forecasthistogram-538-ak-241219_1734648303656_hpEmbed_21x16.jpg?w=1500;ABC3.png;1: Forecast;coincident;explicit;intrinsic;static;attribute / thematic
